"","X","dint","dsack","fumtot","fumrec","tds","points","fgperc","xpperc","ydsperpass","ydsperrush"
"155","SEA",13,36,23,13,41,380,0.861111111111111,1,7.69162995594714,5.25045703839123
"187","SEA",14,37.5,15,6,44,391,0.966666666666667,0.952380952380952,8.26422764227642,4.49090909090909
"28","SF",15,37,22,12,29,233,0.8125,1,7.226,4.13216957605985
"60","SF",23,40,14,7,32,358,0.897959183673469,1,7.07743362831858,4.10060362173038
"92","SF",14,38,25,14,40,371,0.743589743589744,1,8.13302752293578,5.0630081300813
"124","SF",18,37,20,7,39,374,0.888888888888889,1,7.69784172661871,4.35841584158416
"156","SF",23,37,19,6,30,288,0.833333333333333,1,6.98155737704918,4.59789473684211
"188","SF",9,28,19,10,22,224,0.96,1,6.93155893536122,4.03082191780822
"29","STL",14,42,13,7,27,287,0.891891891891892,0.962962962962963,5.95254237288136,3.67832167832168
"61","STL",12,39,26,11,11,147,0.777777777777778,1,5.92167577413479,4.08292682926829
"93","STL",17,50,23,11,27,257,0.741935483870968,1,6.77956989247312,4.17274939172749
"125","STL",14,53,19,6,32,304,0.928571428571429,1,6.6403162055336,4.11267605633803
"157","STL",13,37,26,15,31,292,0.827586206896552,0.971428571428571,7.15503875968992,4.12911392405063
"189","STL",13,41,21,9,28,254,0.740740740740741,0.962962962962963,6.19661733615222,4.51851851851852
"30","TB",19,24,24,10,35,315,0.884615384615385,1,7.21457489878543,4.64269141531322
"62","TB",14,22,30,12,26,257,0.928571428571429,1,6.52380952380952,4.21387283236994
"94","TB",18,28,15,9,41,369,0.875,1,7.32155477031802,4.39568345323741
"126","TB",21,35,16,8,23,238,0.793103448275862,1,5.95583038869258,3.85766423357664
"158","TB",14,39,28,13,29,265,0.909090909090909,1,6.82297551789077,3.93802816901408
"190","TB",11,38,26,13,34,322,0.725,0.911764705882353,7.5588785046729,4.75550660792952
"31","TEN",17,40,22,7,37,332,0.923076923076923,1,6.91561181434599,4.25369458128079
"63","TEN",11,28,17,8,30,301,0.90625,1,7.04280821917808,3.82446808510638
"95","TEN",19,39,21,6,27,272,0.833333333333333,1,6.61296296296296,4.46296296296296
"127","TEN",13,36,26,16,38,344,0.862068965517241,1,6.96060037523452,4.0995670995671
"159","TEN",12,39,23,13,26,240,0.863636363636364,1,7.28654970760234,4.06460674157303
"191","TEN",11,39,25,9,36,287,0.875,0.966666666666667,7.05253623188406,3.99759615384615
"32","WAS",14,29,29,13,30,280,0.705882352941177,1,7.04297520661157,4.19642857142857
"64","WAS",13,40,25,13,26,274,0.861111111111111,1,6.86125211505922,4.04785894206549
"96","WAS",21,31,26,17,48,410,0.8,1,8.30022573363431,5.19195612431444
"128","WAS",16,36,30,15,34,300,0.875,1,6.6421568627451,4.73568281938326
"160","WAS",9,38,30,16,33,301,0.888888888888889,1,8.15539305301645,4.2125
"192","WAS",15,38,24,8,39,412,0.875,0.973333333333333,7.73693693693694,3.66028708133971
